,name,url_x,survival,attack_x,skill_attack,difficulty,skill_0,skill_0_cooling,skill_0_cost,skill_0_desc,skill_1,skill_1_cooling,skill_1_cost,skill_1_desc,skill_2,skill_2_cooling,skill_2_cost,skill_2_desc,skill_3,skill_3_cooling,skill_3_cost,skill_3_desc,搭配英雄1,搭配英雄2,压制英雄1,压制英雄2,被压制英雄1,被压制英雄2,HP,HP_recover,MP,MP_recover,attack_y,attack_rank,cooling_reduce,crit_effect,crit_rate,defense,injury_reduction_rate,magic_attack,magic_defense,magic_injury_reduction_rate,magic_sunder_armor,magic_vampire,speed,speed_up,sunder_armor,tag_1,tag_2,tag_3,toughness,url_y,vampire,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6
0,盘古,http://pvp.qq.com/web201605/herodetail/529.shtml,50,70,40,50,盘古斧,0,0,被动：盘古的斧头具有10点耐久度，每次普攻命中敌方英雄会消耗1点耐久度，消耗完后斧头会破碎变成两只能量臂出现在盘古的身体两侧，切换瞬间盘古无法攻击并不可被选中，每20秒斧头会自动回复1点耐久度，切换形态时会清空1，2技能50%的最大冷却时间。盘古斧：盘古使用斧头时，每次普攻命中敌人会使敌人的伤口裂开，在之后的2秒时间内持续流血每0.5秒造成对方2%最大生命值的物理伤害，流血伤害不触发末世。能量臂：盘古使用能量臂时，每次普攻和技能命中都会在敌人身上叠加1层眩晕标记，满5层会使敌人眩晕1秒并触发额外200（+100%物理加成）点物理伤害，此效果对同一目标有3秒的冷却时间。,狂怒突袭,12/11,0,盘古朝指定位置跳跃并获得持续3秒50%的移速增加效果，落地时对内圈的敌人造成200/240/280/320/360/400（+100%物理加成）点物理伤害，如果落地时攻击到敌人加速效果会被移除。盘古斧：在跳跃期间盘古可以再次使用狂怒突袭选中一名敌人，落地后盘古会立刻冲向选中的敌人并将其击退造成100/130/160/190/220/250（+60%物理加成）点物理伤害并自己停下，同时在3秒内增加10/20/30/40/50/60%的攻击速度。能量臂：处于能量臂状态下时，将无法使用第二次狂怒突袭冲击敌人,压制之握,12/11,0,盘古在目标身边召唤正义之手对敌人进行攻击，如果被正义之手握住，敌人会受到200/230/260/290/320/250（+75%物理加成）点物理伤害，并减少50%移动速度，持续2秒，期间盘古的普攻对其造成伤害时会回复自身6%最大百分比的血量。盘古斧：当盘古拥有斧头时，压制之握还会使敌人被缴械，缴械期间敌人无法使用普通攻击，持续2秒。能量臂：处于能量臂状态下时，压制之握将不具备缴械效果,开天辟地,60/55/50,0,盘古向上跃起，将力量汇聚到斧头上。力量汇聚完毕后盘古会将斧头朝前劈下，地面会朝前逐渐裂开，被地面的裂纹触碰的敌人会受到600/900/1200（+120%物理加成）点物理伤害并减少90%移动速度，持续2秒；减速效果在2秒内持续衰减，期间敌人被缴械；蓄力期间盘古可以吸收附近友方英雄的力量，每吸收1个就能多劈出一道裂缝，最多劈出5道；当多道裂缝命中同一个目标时，从第二道裂缝开始将只造成25%的伤害。此技能只有在盘古拥有斧头时才可以使用，蓄力期间盘古处于霸体状态。蓄力期间被打断会返还部分冷却时间。,鬼谷子,白起,后羿,孙悟空,庄周,吕布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,猪八戒,http://pvp.qq.com/web201605/herodetail/511.shtml,70,50,50,60,毫发无伤,0,0,被动：猪八戒损失的生命会以残血形态暂存，暂存期间猪八戒对英雄\非英雄造成伤害50%\25%(计算忽略敌方免伤)的等值残血会转化为真实血量。残血产生7秒后开始以每秒3%最大生命值的速度自动消减。九齿钉耙乃神兵，普攻附带40（+0.5%最大生命加成）点物理伤害,肉弹蹦床,8,0,猪八戒奋力跳起，落地时对砸到的敌人造成150/165/180/195/210/225（+8%最大生命加成）点物理伤害。之后弹性极佳的身体会再次高高弹起，并在落地时造成相同伤害，以及0.75秒晕眩效果。再次落地时由于惯性极大，猪八戒会快速翻滚一段距离。跳跃期间猪八戒处于霸体状态,倒打一耙,11/10,0,猪八戒将钉耙变长直击前方敌人，造成150/180/210/240/270/300（+50%物理加成）点物理伤害和1.5秒60%减速效果。钉耙若嵌入地形，猪八戒会借力冲撞至嵌入处，并将路径上敌人击退至该处。猪八戒撞击地形时，造成150/165/180/195/210/225/（+6%最大生命加成）点物理伤害和1秒晕眩。被动：使用倒打一耙后，下次普攻会用钉耙把敌人拉回来,圈养时刻,36/32/28,0,猪八戒筑起一堵高墙，英雄无法移动穿越；墙最多存在4秒；筑起瞬间对身前敌人造成250/325/400/(（+90%物理加成）点物理伤害；施法时猪八戒霸体,嫦娥,貂蝉,项羽,后羿,李白,百里守约,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,嫦娥,http://pvp.qq.com/web201605/herodetail/515.shtml,80,10,80,40,月盈,0,0,被动：嫦娥受到月光的守护，以自身法力值产生的护盾抵挡60%伤害，每1点法力抵挡2点伤害；嫦娥的法力值越高造成的伤害越高（最高满蓝提升100%伤害），每1点法术强度会提升嫦娥1.5点最大法力值,月辰,12/11,0,嫦娥向指定方向释放能量，对命中的第一个目标造成150/180/210/240/270/300（+25%法术加成）点法术伤害并标记敌方3秒同时造成1秒定身效果，定身时长随法术强度影响，每100点法术强度额外造成0.15秒定神，最高定身2.5秒；命中后增加嫦娥30%移速持续3秒。嫦娥的普攻与技能伤害能够引爆标记，对范围内的敌人造成150/180/210/240/270/300（+25%法术加成）点法术伤害和50%减速持续1秒；被动：嫦娥的普通攻击变为法术伤害造成80点法术伤害，每过5秒的第一次普攻射程提升并会造成额外80（+10%法术加成）点法术伤害并回复自身最大蓝量5%；,月旋,8,0,短暂的延迟后，嫦娥在身边和指定位置召唤法力旋涡持续4秒，每次消耗范围内敌人10点法力值并回复自身0.5～1%最大法力值（随技能等级成长），造成40/50/60/70/80/90（+8%法术加成）点法术伤害；敌方英雄法力值不足时，不足消耗的法力值将转成对其造成同等的法术伤害,月芒,8,0,嫦娥解放狂暴的魔道力量提升自身30%移速，疯狂倾泻自身的法力值并随机向周围发射法力弹幕，每颗弹幕消耗40点法力，升级提升每秒弹幕数量（8/12/16）对命中的敌人造成110点法术伤害,鬼谷子,白起,上官婉儿,李白,伽罗,吕布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,上官婉儿,http://pvp.qq.com/web201605/herodetail/513.shtml,30,20,90,80,笔阵,0,0,被动：上官婉儿每第三次普攻将进行强化攻击，会对一条路径上的敌人额外造成300（+40%法术加成）点法术伤害。上官婉儿各个技能的笔墨相互触碰的时候会迸发笔力，对附近敌人造成300（+40%法术加成）点法术伤害（1秒内连续命中伤害衰减50%），上官婉儿触碰笔力恢复150（+20%法术加成）点生命值并激活强化普攻。,篆法·疾势,5,50,上官婉儿朝指定方向挥出一记力道苍劲的笔墨，笔墨将会迅速减缓飞行速度并对触碰的敌人造成300/340/380/420/460/500(+40%法术加成）点法术伤害，当达到最远距离时，笔墨将会爆炸散开，对附近敌人造成300/340/380/420/460/500(+40%法术加成）点法术伤害,飞白·藏锋,1,60,上官婉儿选择一个点，然后以自己的位置为终点进行书写，落笔的一瞬间对触碰的敌人造成150/180/210/240/270/300(+20%法术加成）点法术伤害，书写过程中将会对触碰敌人造成300/360/420/480/540/600(+40%法术加成）点法术伤害和50%减速持续2秒（每12秒储存一次笔势，最多可储备2次),章草·横鳞,40/35/30,100,上官婉儿与笔墨共舞对一条路径上的敌人造成300/385/470(+24%法术加成）点法术伤害。如果在冲刺过程中命中了敌人或者其它主动技能的笔势，则可以在3秒内再次通过移动指令发出冲刺（至多可冲刺5次，停止期间可以攻击和施法，中断时根据释放次数返还20%到80%CD）。如果上官婉儿完成了5次冲刺，会跳跃至高空（期间不可被选中），不断朝附近敌人发出攻击造成425/550/675(+34%法术加成）点法术伤害（累计10次攻击，对同一单位伤害衰减到50%）,鬼谷子,刘邦,高渐离,后羿,张良,花木兰,3389,48,490,18,156,远程,0,200%,0,93,13%,0,50,7.6%,0,0,350,0,0,突进,法师,,0,http://news.17173.com/z/pvp/yxtj/sgwe/,0,冷静之靴,回想之杖,噬神之书,痛苦面具,博学者之怒,辉月
4,李信,http://pvp.qq.com/web201605/herodetail/507.shtml,60,60,60,50,灰暗利刃,0,0,被动：李信逐渐解放力量，普攻与2技能命中英雄能够获得额外5点经验值；狂暴利刃：李信普通攻击会造成两段伤害，第一段造成70%物理加成点物理伤害，第二段造成90～300点物理伤害（随人物等级成长），李信在该形态下会增加30点移速；辉耀利刃：李信释放技能后的下一次普通攻击距离提升并额外造成50%伤害，同时李信的强化普攻或者技能命中敌人将会减少所有技能1秒冷却时间,急速突进,8/7/6/5/4/3,0,李信向指定方向进行突进；无畏冲锋：李信积蓄力量，解除减速效果，免疫控制并增加150点移动速度和每0.5秒50点生命回复，如果李信蓄力超过1秒，在蓄力结束时会提升30%攻击速度持续3秒，同时蓄力增加的移动速度也不会直接结束而是在3秒内缓慢结束。李信每次普攻命中敌人都可以减少一技能1秒的冷却时间；希望之跃：李信积蓄力量，结束后向指定方向突进并造成100/120/140/160/180/200（+50%物理加成）～300/360/420/480/540/600（+150%物理加成）点物理伤害并会附加目标已损生命值12%的物理伤害。蓄力1秒后伤害达到上限，蓄力打断返还40%的冷却时间，李信在技能蓄力的过程中免疫控制效果并减少20%所受到的伤害，免疫控制效果会延续到技能释放阶段,强力斩击,5,0,李信向指定方向斩出剑气，对路径上敌人造成250/300/350/400/450/500（+100%物理加成）物理伤害和减速持续2秒；残暴撕裂：李信向指定方向斩出剑气，对路径上的敌人造成280/330/380/420/480/530（+80%物理加成）点物理伤害和50%减速持续2秒，被剑气命中的敌人还会被撕裂，使得李信的普通攻击会对其造成额外90/108/126/144/162/180点物理伤害，当剑气命中敌方英雄时，李信该形态下的普通攻击还可以回复25/30/35/40/45/50点生命值；迅烈之华：李信持续向指定方向斩出剑气，对路径上敌人造成100/120/140/160/180/200（+150%物理加成）点物理伤害，如果剑气命中敌人，则李信回复10%物理加成点生命值,力量觉醒·光,30,0,李信学习大招的瞬间解放魔道家族的力量，改变战斗形态至统御；暗影爆发：李信释放力量，短暂延迟后以释放点为中心对范围内敌人造成600/900/1200（+120%物理加成）点物理伤害和0.75秒击飞；光翼连斩：李信积蓄力量，结束后向指定方向斩出三道剑气，对路径上敌人造成150/200/250（+75%物理加成）～450/600/750（+225%物理加成）点物理伤害，当多道剑气命中同个目标时，从第二道剑气开始将只造成30%的伤害；蓄力1秒后伤害达到上限，蓄力打断会返还40%的冷却时间，李信在技能蓄力的过程中免疫控制效果并减少20%所受到的伤害，免疫控制效果会延续到技能释放阶段,张飞,孙膑,露娜,甄姬,沈梦溪,马可波罗,3418,52,0,0,176,近程,0,200%,0,106,15%,0,50,7.6%,0,0,370,0,0,突进,团控,,0,http://news.17173.com/z/pvp/yxtj/lx/,0,影忍之足,暗影战斧,破军,名刀,魔女斗篷,不详征兆
5,沈梦溪,http://pvp.qq.com/web201605/herodetail/312.shtml,30,10,80,40,暴躁节奏,0,0,被动：沈梦溪的技能命中目标后会将敌人点燃，点燃效果将持续3秒，使用普通攻击命中被点燃的敌人会触发爆炸对附近的敌人造成100（+16%法术加成）点法术伤害。同时被点燃的敌人会暴露视野且移动速度降低20%,喵咪炸弹,2,40,沈梦溪蓄力后朝目标位置投掷一枚喵咪炸弹，爆炸后对范围内的敌人造成450/510/570/630/690/750(+50%法术加成）点法术伤害。炸弹投掷的最远距离和蓄力时间成正比，蓄力达1秒后射程达到上限；如果沈梦溪自身处于点燃状态，猫咪炸弹将锁定敌人，命中后会将敌人击退造成360/408/456/504/552/600(+40%法术加成）点法术伤害同时炸弹会继续朝前弹一段距离落地爆炸再次造成405/459/513/567/621/675(+45%法术加成)点法术伤害。炸弹每10秒获得一枚，最多可以存储5枚，获取速度受冷却缩减影响；,正常操作,12/11,70,沈梦溪失误点燃了自己，期间移动速度增加100%并持续衰减，5秒后身上的炸弹会被引爆将沈梦溪朝前炸出一段距离，同时会将路径上的敌人炸晕并造成500/560/620/680/740/800（+65%法术加成）点法术伤害；点燃期间可以手动熄灭身上的火焰，冷却时间根据已燃烧的时间增加；在沈梦溪被点燃期间猫咪炸弹的投掷方式会发生变化。,综合爆款,5,100,沈梦溪蓄力后朝目标位置投掷一枚EX型混合炸弹，爆炸后对范围内的敌人造成500/700/900（+50%法术加成）点法术伤害，并在之后的2秒时间内累计造成250/350/450（+25%法术加成）点法术伤害，同时分裂出3枚猫咪炸弹朝四周散落，落地后爆炸对附近的敌人造成250/350/450（+25%法术加成）点法术伤害。炸弹投掷的最远距离和蓄力时间成正比；蓄力达2秒后射程达到上限。EX型混合炸弹每50秒会获得一枚，最多可以储存2枚，获取速度受冷却缩减影响。,鬼谷子,白起,黄忠,鲁班七号,兰陵王,阿轲,3238,46,440,15,171,远程,0,200%,0,87,12.6%,0,50,7.6%,0,0,360,0,0,远程,法师,,0,http://news.17173.com/z/pvp/yxtj/smx/,0,冷静之靴,痛苦面具,回想之杖,博学者之怒,巫术法杖,虚无法杖
6,伽罗,http://pvp.qq.com/web201605/herodetail/508.shtml,20,90,40,20,破魔之箭,0,0,被动：伽罗的普攻与技能伤害将会优先对目标的护盾效果造成一次等额的伤害,渡灵之箭,1,0,伽罗展开长弓，攻击间隔增长25%并提升200点射程；在此形态下，伽罗的每一次射击都会消耗50点法力值，并使目标获得持续2秒的损伤，每0.5秒额外造成45/47/49/51/53/55（+5%物理加成）点法术伤害,静默之箭,12/11,75,伽罗以长弓为施法媒介，张开法阵，并在一定的延迟后向指定方向射出破魔之箭，对路径上的敌人造成250/280/310/340/370/400（+40%物理加成）点法术伤害与0.5秒沉默及50%减速持续1秒，箭矢穿过区域在1秒后会爆炸对范围内敌人造成500/560/620/680/740/800（+80%物理加成）点法术伤害,纯净之域,40/35/30,100,伽罗在身边张开法阵持续8秒并可手动关闭，提升范围内友军20%暴击率；法阵在张开和关闭的瞬间会对范围内敌军造成250/350/450(+75%物理加成)点法术伤害，关闭时会对尚在法阵中的友军产生一个持续3秒的20%暴击率与20%移速增加的效果；被动：伽罗的暴击会对目标造成90%减速持续0.5秒；,蔡文姬,太乙真人,关羽,张飞,兰陵王,阿轲,3173,39,490,18,184,远程,0,200%,0,84,12.2%,0,50,7.6%,0,0,350,0,0,团队增益,射手,,0,http://news.17173.com/z/pvp/yxtj/jl/,0,极速战靴,末世,无尽战刃,影刃,破晓,贤者的庇护
7,盾山,http://pvp.qq.com/web201605/herodetail/509.shtml,100,30,40,30,天地化盾,0,0,被动：盾山借助生成的石盾可完全抵挡掉大量的子弹技能，并且防御状态下获得30%免伤效果；庞大的身躯使得盾山的普通攻击将造成附带自身最大生命4%加成的物理伤害,一夫当关,3,0,盾山降低50%移速横盾于身前进入防御状态，触碰石盾的敌人会被击退并对其造成250/300/350/400/450/500(+50%物理加成）点物理伤害,万夫莫开,8/7,50,盾山向前冲锋击退身前的野怪小兵并造成550/620/690/760/830/900(+100%物理加成）点物理伤害，并且会扔回第一下撞到的敌方英雄，敌方英雄落地会对周围造成1秒晕眩和550（+100%物理加成）点物理伤害。可在技能不动如山持续期间使用，使用将立即收回张开的巨盾,不动如山,40/35/30,100,盾山掀开身边的敌方单位造成300/400/500（+60%物理加成）点物理伤害，然后张开巨盾砸向地面造成300（+60%物理加成）点物理伤害和击退，被砸晕击退单位减缓移动速度50%持续1秒，后续的能量流动持续推开面前的敌人，造成的伤害将衰减50%,鲁班七号,女娲,马可波罗,后羿,吕布,周瑜,3481,48,420,15,207,近程,0,200%,0,126,17.3%,0,50,7.6%,0,0,370,0,0,团控,辅助,,0,http://news.17173.com/z/pvp/yxtj/ds/,0,救赎之翼,抵抗之靴,不详征兆,魔女斗篷,霸者重装,反伤刺甲
8,司马懿,http://pvp.qq.com/web201605/herodetail/137.shtml,50,50,90,50,静默之语,0,0,被动：司马懿能够获得2000范围内施法者的视野且该范围内地方释放技能会为司马懿回复5带你能量；司马懿基础拥有80点能量（每级提升3点能量上限），同时每次击杀或者助攻能够提升10点能量上限，将普攻替换为巨大的镰刀攻击造成法术伤害，持续4秒，镰刀每击造成250（+40%法术加成）点法术伤害，替换为镰刀后的首次攻击可位移到目标身后造成500（+80%法术加成）点法术伤害,幽影之咬,7,40,司马懿释放无法被选中的灵体，过程中本体免疫控制，对穿过的敌人造成100/120/140/160/180/200（+20%法术加成）点法术伤害，效果结束后本体将会移动至灵体的位置，并对路径上的敌人造成100/120/140/160/180/200（+20%法术加成）点法术伤害和50%减速持续1秒,荒芜之域,7,40,司马懿释放灵力，压制周围的区域造成300/350/400/450/500/550（+35%法术加成）点法术伤害与1秒沉默，如果司马懿2秒后还在被压制的区域中则会获得25/30/35/40/45/50点的能量；被动：司马懿吸收部分的法术伤害时，将其中30%在5秒内转化为生命值,死神降临,35/30/25,40,司马懿化身死神，在短暂的蓄力后向指定地点冲击，造成700/875/1050（100%法术加成）点法术伤害，并且会对冲击路径触碰的敌人造成50%伤害,项羽,干将莫邪,宫本武藏,诸葛亮,铠,东皇太一,3196,45,80,10,179,远程,0,200%,0,87,12.6%,0,50,7.6%,0,0,370,0,0,突进,刺客,,0,http://news.17173.com/z/pvp/yxtj/smy/,0,冷静之靴,痛苦面具,回响之杖,辉月,博学者之怒,虚无法杖
9,孙策,http://pvp.qq.com/web201605/herodetail/510.shtml,70,50,70,50,怒潮,0,0,被动：每过6秒，孙策的下一次普攻附带额外110(+60%物理加成)点物理伤害，并回复自身55（+30%物理加成）（+3%已损生命）点生命值;被动：每次受到物理伤害或真实伤害时，孙策获得1层不屈效果：护甲值提升20点，持续6秒，可叠加10层,劈风斩浪,8,50,孙策向前冲锋，对路径上敌人造成120/144/168/192/216/240（+50%物理加成）点物理伤害。冲锋到终点后造成一次范围240/288/336/384/432/480（+100%物理加成）点物理伤害，短暂延迟后这个范围喷发波涛，再次造成相同伤害，并对命中敌人造成1秒击飞效果,惊涛骇浪,10/9,70,连续三次向前踏步并劈砍，每次造成的物理伤害逐渐提高25%，基础造成160/192/224/256/288/320（+60%物理加成）点物理伤害，每次命中敌人造成30%减速，减速效果可叠加。使用技能会重置普通攻击冷却时间,长帆破浪,45/40/35,100,驾船冲锋，速度逐渐提升，期间霸体，冲锋持续7秒。撞到兵线野怪造成伤害和击飞，撞到阻挡物、敌方英雄、航行时间结束时船都会爆炸造成300/450/600（+120%物理加成）点物理伤害和击飞，击飞时间1～1.5秒（与已航行时间成正比）。航行过程中可释放第二段，释放后船继续航行固定距离，同时孙策弃船朝选定方向跳跃固定距离。撞击到敌方英雄会获取5层不屈效果,哪吒,牛魔,程咬金,王昭君,大乔,项羽,3357,80,420,15,151,近程,0,200%,0,97,13.9%,0,50,7.6%,0,0,380,0,0,突进,坦克,,0,http://news.17173.com/z/pvp/yxtj/sc/,0,暗影战斧,抵抗之靴,冰痕之握,反伤刺甲,魔女斗篷,贤者的庇护
