,item,url1
0,奥术法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/855824.html
1,隐匿之甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/854154.html
2,碎骨之锤,http://news.4399.com/wzlm/daoju/gj/m/853729.html
3,砂之守卫,http://news.4399.com/gonglue/wzlm/daoju/fy/m/853725.html
4,破晓,http://news.4399.com/wzlm/daoju/gj/m/838138.html
5,穿云弓,http://news.4399.com/wzlm/daoju/gj/m/838131.html
6,无尽战刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558376.html
7,近卫荣耀,http://news.4399.com/wzlm/daoju/fz/m/760625.html
8,奔狼纹章,http://news.4399.com/wzlm/daoju/fz/m/760621.html
9,救赎之翼,http://news.4399.com/wzlm/daoju/fz/m/760619.html
10,极影,http://news.4399.com/wzlm/daoju/fz/m/760616.html
11,鼓舞之盾,http://news.4399.com/wzlm/daoju/fz/m/760608.html
12,风灵纹章,http://news.4399.com/wzlm/daoju/fz/m/760604.html
13,风之轻语,http://news.4399.com/wzlm/daoju/fz/m/760601.html
14,凤鸣指环,http://news.4399.com/wzlm/daoju/fz/m/760587.html
15,学识宝石,http://news.4399.com/wzlm/daoju/fz/m/760583.html
16,冰霜长矛,http://news.4399.com/wzlm/daoju/gj/m/736100.html
17,逐日之弓,http://news.4399.com/wzlm/daoju/gj/m/736084.html
18,宗师之力,http://news.4399.com/wzlm/daoju/gj/m/735583.html
19,辉月,http://news.4399.com/wzlm/daoju/fs/m/734415.html
20,奔狼纹章,http://news.4399.com/wzlm/daoju/fy/m/733638.html
21,噬神之书,http://news.4399.com/wzlm/daoju/fs/m/733575.html
22,纯净苍穹,http://news.4399.com/wzlm/daoju/gj/m/689205.html
23,贤者的庇护,http://news.4399.com/wzlm/daoju/fy/m/633221.html
24,冰痕之握,http://news.4399.com/wzlm/daoju/fy/m/633219.html
25,冰霜战锤（旧版）,http://news.4399.com/wzlm/daoju/fy/m/633218.html
26,血魔之怒,http://news.4399.com/wzlm/daoju/fy/m/633214.html
27,追击刀锋,http://news.4399.com/wzlm/daoju/dy/m/632857.html
28,巡守利斧,http://news.4399.com/wzlm/daoju/dy/m/632851.html
29,游击弯刀,http://news.4399.com/wzlm/daoju/dy/m/632845.html
30,疾步之靴,http://news.4399.com/wzlm/daoju/yd/m/632826.html
31,贤者之书,http://news.4399.com/wzlm/daoju/fs/m/632815.html
32,圣杯,http://news.4399.com/wzlm/daoju/fs/m/632812.html
33,梦魇之牙,http://news.4399.com/wzlm/daoju/fs/m/632807.html
34,金色圣剑（旧版）,http://news.4399.com/wzlm/daoju/fs/m/632805.html
35,元素杖,http://news.4399.com/wzlm/daoju/fs/m/632800.html
36,制裁之刃,http://news.4399.com/wzlm/daoju/gj/m/632593.html
37,速击之枪,http://news.4399.com/wzlm/daoju/gj/m/632589.html
38,冲能拳套,http://news.4399.com/wzlm/daoju/gj/m/632586.html
39,雷鸣刃,http://news.4399.com/wzlm/daoju/gj/m/632584.html
40,狩猎宽刃,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563232.html
41,符文大剑,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563227.html
42,巨人之握,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563214.html
43,秘法之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563202.html
44,冷静之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563186.html
45,抵抗之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563171.html
46,影忍之足,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563160.html
47,神速之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563151.html
48,红玛瑙,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562917.html
49,布甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562909.html
50,抗魔披风,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562904.html
51,提神水晶,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562895.html
52,力量腰带,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562890.html
53,熔炼之心,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562885.html
54,神隐斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562879.html
55,雪山圆盾,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562874.html
56,守护者之铠,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562866.html
57,近卫荣耀,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562797.html
58,反伤刺甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562780.html
59,红莲斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561441.html
60,霸者重装,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561440.html
61,不详征兆,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561439.html
62,不死鸟之眼,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561438.html
63,魔女斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561437.html
64,三圣之力（旧版）,http://news.4399.com/gonglue/wzlm/daoju/gj/m/561422.html
65,咒术典籍,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559232.html
66,蓝宝石,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559227.html
67,炼金护符,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559225.html
68,圣者法典,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559222.html
69,大棒,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559219.html
70,血族之书,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559212.html
71,光辉之剑,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559207.html
72,魅影面罩,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559204.html
73,进化水晶,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559200.html
74,破碎圣杯,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559192.html
75,炽热支配者,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559183.html
76,虚无法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559174.html
77,博学者之怒,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559165.html
78,铁剑,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559118.html
79,匕首,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559107.html
80,搏击拳套,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559104.html
81,风暴巨剑,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559101.html
82,日冕,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559096.html
83,狂暴双刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559091.html
84,吸血之镰,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559087.html
85,陨星,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559083.html
